Owner,Latitude,Longitude,Name
IBM Cloud,38.89037,-77.03196,Washington DC
IBM Cloud,52.3615927,4.890603641,Amsterdam
IBM Cloud,50.11208,8.68341,Frankfurt
IBM Cloud,51.50740836,-0.127698693,London
IBM Cloud,40.41955,-3.69196,Madrid
IBM Cloud,45.46796,9.18178,Milan
IBM Cloud,48.86369758,2.361657337,Paris
IBM Cloud,13.08376,80.28256,Chennai
IBM Cloud,34.69372591,135.502162,Osaka
IBM Cloud,1.29088,103.85239,Singapore
IBM Cloud,-33.86973,151.20825,Sydney
IBM Cloud,35.68945633,139.6917161,Tokyo
Google Cloud Platform,24.07602,120.54411,Changhua County
Google Cloud Platform,22.35195832,114.119386,Hong Kong
Google Cloud Platform,35.68945633,139.6917161,Tokyo
Google Cloud Platform,34.69372591,135.502162,Osaka
Google Cloud Platform,37.566,126.9784,Seoul
Google Cloud Platform,18.94018,72.83484,Mumbai
Google Cloud Platform,28.63409,77.21693,Delhi
Google Cloud Platform,5.11183,96.90314,Jurong
Google Cloud Platform,-6.17148,106.82649,Jakarta
Google Cloud Platform,-33.86973,151.20825,Sydney
Google Cloud Platform,-37.81738,144.96754,Melbourne
Google Cloud Platform,52.22982708,21.01173152,Warsaw
Google Cloud Platform,60.57098,27.18944,Hamina
Google Cloud Platform,40.41955,-3.69196,Madrid
Google Cloud Platform,50.87575,3.17901,Ghislain
Google Cloud Platform,52.51604,13.37691,Berlin
Google Cloud Platform,45.06235,7.67993,Turin
Google Cloud Platform,51.50740836,-0.127698693,London
Google Cloud Platform,50.11208,8.68341,Frankfurt
Google Cloud Platform,53.44402835,6.82966453,Eemshaven
Google Cloud Platform,47.37707,8.53956,Zurich
Google Cloud Platform,45.46796,9.18178,Milan
Google Cloud Platform,48.86369758,2.361657337,Paris
Google Cloud Platform,25.29424,51.51967,Doha
Google Cloud Platform,26.43683,50.09083,Dammam
Google Cloud Platform,32.08413,34.80863,Tel Aviv
Google Cloud Platform,45.508867,-73.554242,Montréal
Google Cloud Platform,43.653524,-79.383907,Toronto
Google Cloud Platform,-23.53104,-46.78629,Osasco
Google Cloud Platform,-33.43722,-70.65002,Santiago
Google Cloud Platform,41.25818,-95.8511,Council Bluffs
Google Cloud Platform,33.18611108,-79.93983366,Berkeley County
Google Cloud Platform,39.05232,-77.4827,Ashburn
Google Cloud Platform,39.96199,-83.00275,Columbus
Google Cloud Platform,32.77822,-96.79512,Dallas
Google Cloud Platform,45.60155,-121.18343,The Dalles
Google Cloud Platform,34.05357,-118.24545,Los Angeles
Google Cloud Platform,40.76031,-111.88822,Salt Lake City
Google Cloud Platform,36.17193,-115.14001,Las Vegas
AWS,43.93878024,-120.5585609,Oregon
AWS,38.73074,-77.71193,Northern Virginia
AWS,39.76531,-121.90983,Northern California
AWS,40.4130568,-82.71121519,Ohio
AWS,45.508867,-73.554242,Montreal
AWS,51.045113,-114.057141,Calgary
AWS,-23.56287,-46.65468,São Paulo
AWS,53.17587985,-8.146006147,Ireland
AWS,50.11208,8.68341,Frankfurt
AWS,51.50740836,-0.127698693,London
AWS,48.86369758,2.361657337,Paris
AWS,59.33257,18.06683,Stockholm
AWS,45.46796,9.18178,Milan
AWS,47.37707,8.53956,Zurich
AWS,40.22794966,-3.646063105,Spain
AWS,26.05185877,50.56442695,Bahrain
AWS,23.91486962,54.32685818,UAE
